;;;;;;;;;;;;;x,,,
AGRESSION_WAR_NAME_REPARATIONS_PEU_CHL;The $ORDER$War of the Pacific;;;;;;;;;;;;;;;;;;;;;;;;x
AGRESSION_WAR_NAME_REPARATIONS_BOL_CHL;The $ORDER$War of the Pacific;;;;;;;;;;;;;;;;;;;;;;;;x
AGRESSION_WAR_NAME_REPARATIONS_CHL_PBC;The $ORDER$War of the Confederation;;;;;;;;;;;;;;;;;;;;;;;;x
NORMAL_WAR_NAME_REPARATIONS_CHL_PBC;The $ORDER$War of the Confederation;;;;;;;;;;;;;;;;;;;;;;;;x
AGRESSION_CUT_DOWN_TO_SIZE_WAR_NAME_CHL_PBC;The $ORDER$War of the Confederation;;;;;;;;;;;;;;;;;;;;;;;;x
NORMAL_CUT_DOWN_TO_SIZE_WAR_NAME_CHL_PBC;The $ORDER$War of the Confederation;;;;;;;;;;;;;;;;;;;;;;;;x
NORMAL_WAR_NAME_REPARATIONS;The $ORDER$$FIRST$-$SECOND$ War;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
AGRESSION_WAR_NAME_REPARATIONS;$ORDER$War of $FIRST$ Aggression;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
colonial_conquest;Colonial Conquest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
colonial_conquest_desc;Acquire an enemy ùYstateùW where we have ùYcolonial claimsùW, but this will gives us a random amount of ùRinfamyùW from ùR0.5 to 2ùW.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,
colonial_conquest_short;Acquire $STATE$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
colonial_conquest_setup;Acquire $STATE$ from $RECIPIENT$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
war_reparations;Reparations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,
war_reparations_desc;Demand ùYreparationsùW from $RECIPIENT$.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,
war_reparations_short;Demand Reparations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,
war_reparations_setup;Demand ùYreparationsùW from $RECIPIENT$.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,
install_democracy_make_puppet;Install a Democratic Puppet;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
install_democracy_make_puppet_desc;Install a ùYdemocratic puppet governmentùW in the country's capital;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
install_democracy_make_puppet_short;Install a democratic puppet government in $RECIPIENT$;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
install_democracy_make_puppet_setup;Install a democratic puppet government in $RECIPIENT$;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
install_communism_make_puppet;Install a Communist Puppet;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
install_communism_make_puppet_desc;Install a ùYcommunist puppet governmentùW in the country's capital;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
install_communism_make_puppet_short;Install a communist puppet government in $RECIPIENT$;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
install_communism_make_puppet_setup;Install a communist puppet government in $RECIPIENT$;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
install_fascism_make_puppet;Install a Fascist Puppet;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
install_fascism_make_puppet_desc;Install a ùYfascist puppet governmentùW in the country's capital;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
install_fascism_make_puppet_short;Install a fascist puppet government in $RECIPIENT$;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
install_fascism_make_puppet_setup;Install a fascist puppet government in $RECIPIENT$;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,
NORMAL_WAR_LIBERATE_NAME_BOR_EGY;$ORDER$French Intervention in Egypt;;;;;;;;;;;;;;;;;;;;;;;;x
NORMAL_WAR_LIBERATE_NAME_FRA_EGY;$ORDER$French Intervention in Egypt;;;;;;;;;;;;;;;;;;;;;;;;x
NORMAL_WAR_LIBERATE_NAME_NET_EGY;$ORDER$Dutch Intervention in Egypt;;;;;;;;;;;;;;;;;;;;;;;;x
NORMAL_WAR_LIBERATE_NAME_SPA_EGY;$ORDER$Spanish Intervention in Egypt;;;;;;;;;;;;;;;;;;;;;;;;x
NORMAL_WAR_LIBERATE_NAME_AUS_EGY;$ORDER$Austrian Intervention in Egypt;;;;;;;;;;;;;;;;;;;;;;;;x
